ud,pc,zf,p,o,h,l,yc,cje,v,pv,tv,t,dm
60.029,1.0258,0.9416,5911.853,5875.061,5911.853,5856.751,5851.824000000001,45767973100,21771095,2177109458,141435,2025-07-17 15:00:12,000812
21.919,0.825,0.7511,2678.913,2658.955,2678.913,2658.955,2656.994,15601067300,9011095,901109541,55462,2025-07-17 15:00:12,000813
141.925,1.693,1.8594,8524.835000000001,8378.413,8527.567000000001,8371.695,8382.91,30203380100,9222085,9222085,6807,2025-07-17 15:00:09,000814
22.349,0.4013,1.0025,5591.901,5563.152,5601.547,5545.711,5569.552,36431758900,20598262,20598262,25071,2025-07-17 15:00:09,000819
28.579,0.4454,1.0973,6444.654,6407.034000000001,6453.625,6383.221,6416.075,33459569000,19426246,19426246,182869,2025-07-17 15:00:13,000823
9.197,0.645,0.8421,1435.007,1432.803,1436.525,1424.518,1425.81,52967841100,29715349,29715349,64803,2025-07-17 15:00:09,000827
33.795,1.3915,1.2466,2462.534,2433.729,2462.534,2432.258,2428.739,151910946500,39890976,3989097622,193417,2025-07-17 15:00:12,000828
3.772,0.84,0.8039,452.808,449.22,452.83,449.22,449.036,73292253600,4501575,450157502,156,2025-07-17 15:00:12,000832
152.793,1.8214,1.9414,8541.54,8385.156,8541.76,8378.905,8388.747,32416871100,9717413,971741320,35755,2025-07-17 15:00:12,000841
8.453,0.2751,0.478,3081.202,3071.434,3081.539,3066.85,3072.749,48381070800,25484966,25484966,239601,2025-07-17 15:00:13,000847
41.532,0.4076,0.7539,10232.081,10186.017,10248.612,10171.781,10190.549,25810679400,16262089,16262089,118782,2025-07-17 15:00:13,000849
143.749,0.8493,1.0161,17069.497,16917.385,17070.546,16898.559,16925.748,67525820000,31260714,31260714,199926,2025-07-17 15:00:13,000851
73.608,1.1391,1.3079,6535.671,6458.414,6535.671,6451.153,6462.063,325983691200,227831646,227831646,361282,2025-07-17 15:00:09,000852
16.344,1.2115,1.2857,1365.377,1348.033,1365.377,1348.033,1349.033,82180968000,20016365,20016365,110110,2025-07-17 15:00:13,000853
40.43,0.9691,1.3257,4212.397,4166.161,4216.851,4161.544,4171.967,28948235900,21573005,21573005,159208,2025-07-17 15:00:13,000854
10.178,0.7232,0.7618,1417.608,1406.932,1417.654,1406.932,1407.43,444163033200,206371607,206371607,1716361,2025-07-17 15:00:13,000855
49.035,0.8681,1.0093,5697.476000000001,5648.826,5697.476000000001,5640.468,5648.441,41427444700,25934008,25934008,204939,2025-07-17 15:00:13,000856
159.884,1.5163,1.52,10703.912,10555.218,10707.424,10547.155,10544.028,20891578100,8045079,8045079,28689,2025-07-17 15:00:13,000857
